die_X,die_Y,GDS-X,GDS-Y,defect_class,defect_size_um
31,31,500,300,Particle,0.8
31,31,-1200,900,Scratch,1.4
32,31,2000,-1000,Particle,0.5
32,32,0,0,Void,2.1
30,32,1500,1500,Particle,0.6
30,32,-1500,-1500,Particle,0.7
30,32,800,-600,Scratch,1.0
33,29,-400,1900,Bridge,3.2
33,29,1900,-400,Bridge,2.8
33,29,0,-2000,Particle,0.4
31,28,1000,1000,Particle,0.5
27,29,-1800,200,Scratch,1.1
36,32,300,-1700,Void,1.9
36,32,-2000,600,Particle,0.6
28,27,900,900,Particle,0.5
28,27,-900,-900,Particle,0.5
28,27,1400,-1400,Particle,0.5
28,27,-1400,1400,Particle,0.5
28,27,0,2000,Bridge,4.0
28,27,-2000,0,Bridge,3.6
